2025-03-27 16:22:30.905466: Волк (11, 9) съел Олень на (12, 10). Голод: 0
2025-03-27 16:22:30.912751: Волк (9, 0) съел Олень на (9, 1). Голод: 0
2025-03-27 16:22:30.924087: Волк (5, 12) съел Олень на (5, 13). Голод: 0
2025-03-27 16:22:30.934366: Волк (14, 6) съел Олень на (14, 6). Голод: 0
2025-03-27 16:22:30.944673: Волк (4, 11) съел Олень на (3, 11). Голод: 0
2025-03-27 16:22:30.955981: Волк (13, 10) съел Олень на (14, 9). Голод: 0
2025-03-27 16:22:30.966297: Волк (4, 13) съел Олень на (4, 12). Голод: 0
2025-03-27 16:22:30.978602: Волк (16, 10) съел Олень на (17, 11). Голод: 0
2025-03-27 16:22:30.989991: Волк (3, 18) съел Олень на (3, 18). Голод: 0
2025-03-27 16:22:31.001294: Волк (18, 5) съел Олень на (19, 5). Голод: 0
2025-03-27 16:22:31.011613: Волк (13, 19) съел Олень на (14, 18). Голод: 0
2025-03-27 16:22:31.022885: Волк (1, 5) съел Олень на (0, 4). Голод: 0
2025-03-27 16:22:31.035170: Волк (10, 15) съел Олень на (11, 15). Голод: 0
2025-03-27 16:22:31.046531: Волк (9, 1) съел Олень на (10, 2). Голод: 0
2025-03-27 16:22:31.058803: Волк (14, 18) съел Олень на (14, 18). Голод: 0
2025-03-27 16:22:31.071273: Волк (2, 11) съел Олень на (1, 10). Голод: 0
2025-03-27 16:22:31.082565: Волк (10, 8) съел Олень на (10, 9). Голод: 0
2025-03-27 16:22:31.094901: Волк (16, 2) съел Олень на (17, 2). Голод: 0
2025-03-27 16:22:31.106359: Волк (3, 10) съел Олень на (3, 11). Голод: 0
2025-03-27 16:22:31.118660: Волк (2, 11) съел Олень на (3, 11). Голод: 0
2025-03-27 16:22:31.130986: Волк (5, 19) съел Олень на (6, 18). Голод: 0
2025-03-27 16:22:31.143307: Волк (19, 18) съел Олень на (19, 18). Голод: 0
2025-03-27 16:22:31.155711: Волк (10, 16) съел Олень на (10, 16). Голод: 0
2025-03-27 16:22:31.169018: Волк (3, 14) съел Олень на (3, 15). Голод: 0
2025-03-27 16:22:31.180346: Волк (13, 18) съел Олень на (14, 18). Голод: 0
2025-03-27 16:22:31.192770: Волк (15, 3) съел Олень на (14, 2). Голод: 0
2025-03-27 16:22:31.204137: Волк (0, 8) съел Олень на (0, 7). Голод: 0
2025-03-27 16:22:31.216405: Волк (12, 8) съел Олень на (12, 9). Голод: 0
