2025-03-27 16:19:09.406464: Волк (19, 1) съел Олень на (19, 2). Голод: 0
2025-03-27 16:19:09.412617: Волк (10, 15) съел Олень на (11, 16). Голод: 0
2025-03-27 16:19:09.423929: Волк (0, 10) съел Олень на (1, 10). Голод: 0
2025-03-27 16:19:09.435194: Волк (10, 6) съел Олень на (9, 7). Голод: 0
2025-03-27 16:19:09.445536: Волк (15, 4) съел Олень на (14, 5). Голод: 0
2025-03-27 16:19:09.455833: Волк (6, 3) съел Олень на (6, 2). Голод: 0
2025-03-27 16:19:09.467133: Волк (14, 1) съел Олень на (14, 2). Голод: 0
2025-03-27 16:19:09.477435: Волк (17, 0) съел Олень на (16, 0). Голод: 0
2025-03-27 16:19:09.489830: Волк (4, 1) съел Олень на (5, 0). Голод: 0
2025-03-27 16:19:09.500117: Волк (12, 19) съел Олень на (13, 18). Голод: 0
2025-03-27 16:19:09.511442: Волк (2, 7) съел Олень на (1, 7). Голод: 0
2025-03-27 16:19:09.520756: Волк (0, 18) съел Олень на (0, 18). Голод: 0
2025-03-27 16:19:09.532070: Волк (12, 8) съел Олень на (13, 8). Голод: 0
2025-03-27 16:19:09.544387: Волк (7, 7) съел Олень на (8, 6). Голод: 0
2025-03-27 16:19:09.555717: Волк (1, 13) съел Олень на (0, 13). Голод: 0
2025-03-27 16:19:09.567147: Волк (8, 7) съел Олень на (8, 6). Голод: 0
2025-03-27 16:19:09.579296: Волк (13, 16) съел Олень на (13, 16). Голод: 0
2025-03-27 16:19:09.590591: Волк (11, 7) съел Олень на (11, 8). Голод: 0
2025-03-27 16:19:09.602903: Волк (10, 18) съел Олень на (11, 19). Голод: 0
2025-03-27 16:19:09.615351: Волк (16, 11) съел Олень на (16, 10). Голод: 0
2025-03-27 16:19:09.626623: Волк (12, 1) съел Олень на (13, 0). Голод: 0
2025-03-27 16:19:09.638961: Волк (19, 11) съел Олень на (18, 12). Голод: 0
2025-03-27 16:19:09.650280: Волк (14, 1) съел Олень на (13, 0). Голод: 0
2025-03-27 16:19:09.662605: Волк (6, 7) съел Олень на (5, 8). Голод: 0
2025-03-27 16:19:09.674985: Волк (0, 10) съел Олень на (1, 10). Голод: 0
2025-03-27 16:19:09.689370: Волк (15, 6) съел Олень на (14, 5). Голод: 0
2025-03-27 16:19:09.702721: Волк (10, 17) съел Олень на (11, 16). Голод: 0
2025-03-27 16:19:09.714977: Волк (4, 4) съел Олень на (5, 3). Голод: 0
2025-03-27 16:19:09.727424: Волк (13, 5) съел Олень на (13, 4). Голод: 0
2025-03-27 16:19:09.743833: Олень (13, 4) съел растение на (14, 3). Голод: 0
2025-03-27 16:19:09.758098: Олень (1, 13) съел растение на (2, 13). Голод: 0
2025-03-27 16:19:09.770483: Олень (16, 0) съел растение на (15, 0). Голод: 0
2025-03-27 16:19:09.785583: Олень (5, 8) съел растение на (5, 8). Голод: 0
2025-03-27 16:19:09.799969: Олень (10, 16) съел растение на (10, 16). Голод: 0
2025-03-27 16:19:09.815393: Олень (7, 12) съел растение на (8, 13). Голод: 0
2025-03-27 16:19:09.827734: Олень (12, 5) съел растение на (12, 5). Голод: 0
2025-03-27 16:19:09.845123: Олень (18, 3) съел растение на (19, 2). Голод: 0
2025-03-27 16:19:09.864484: Олень (14, 2) съел растение на (15, 3). Голод: 0
2025-03-27 16:19:09.886101: Олень (7, 19) съел растение на (6, 18). Голод: 0
2025-03-27 16:19:09.901367: Олень (4, 12) съел растение на (5, 12). Голод: 0
2025-03-27 16:19:09.915694: Олень (3, 15) съел растение на (2, 16). Голод: 0
2025-03-27 16:19:09.934023: Олень (5, 15) съел растение на (6, 14). Голод: 0
2025-03-27 16:19:09.946376: Олень (14, 6) съел растение на (15, 6). Голод: 0
2025-03-27 16:19:09.962741: Олень (6, 2) съел растение на (5, 2). Голод: 0
2025-03-27 16:19:09.978124: Олень (3, 12) съел растение на (3, 11). Голод: 0
2025-03-27 16:19:09.993448: Олень (6, 14) съел растение на (6, 13). Голод: 0
2025-03-27 16:19:10.007651: Олень (0, 0) съел растение на (1, 0). Голод: 0
2025-03-27 16:19:10.020968: Олень (14, 15) съел растение на (15, 16). Голод: 0
2025-03-27 16:19:10.035323: Олень (0, 18) съел растение на (0, 19). Голод: 0
2025-03-27 16:19:10.049548: Олень (5, 3) съел растение на (5, 2). Голод: 0
2025-03-27 16:19:10.063884: Олень (16, 18) съел растение на (16, 17). Голод: 0
2025-03-27 16:19:10.077141: Олень (11, 19) съел растение на (12, 18). Голод: 0
2025-03-27 16:19:10.089485: Олень (4, 13) съел растение на (5, 12). Голод: 0
2025-03-27 16:19:10.108802: Олень (17, 15) съел растение на (18, 15). Голод: 0
2025-03-27 16:19:10.126247: Олень (17, 17) съел растение на (16, 17). Голод: 0
2025-03-27 16:19:10.142611: Олень (1, 2) съел растение на (2, 1). Голод: 0
2025-03-27 16:19:10.159938: Олень (12, 15) съел растение на (13, 16). Голод: 0
2025-03-27 16:19:10.178265: Олень (4, 10) съел растение на (4, 9). Голод: 0
2025-03-27 16:19:10.195714: Олень (9, 11) съел растение на (9, 11). Голод: 0
2025-03-27 16:19:10.212060: Олень (12, 17) съел растение на (12, 18). Голод: 0
2025-03-27 16:19:10.232349: Олень (12, 15) съел растение на (13, 15). Голод: 0
2025-03-27 16:19:10.245876: Олень (9, 7) съел растение на (9, 8). Голод: 0
2025-03-27 16:19:10.263237: Олень (13, 6) съел растение на (12, 5). Голод: 0
