2025-03-27 16:17:44.683190: Волк (18, 7) съел Олень на (17, 6). Голод: 0
2025-03-27 16:17:44.687292: Волк (18, 13) съел Олень на (18, 13). Голод: 0
2025-03-27 16:17:44.695551: Волк (12, 12) съел Олень на (13, 11). Голод: 0
2025-03-27 16:17:44.703684: Волк (3, 17) съел Олень на (2, 17). Голод: 0
2025-03-27 16:17:44.710899: Волк (6, 12) съел Олень на (6, 12). Голод: 0
2025-03-27 16:17:44.719031: Волк (9, 19) съел Олень на (8, 18). Голод: 0
2025-03-27 16:17:44.726287: Волк (7, 14) съел Олень на (7, 15). Голод: 0
2025-03-27 16:17:44.734432: Волк (13, 10) съел Олень на (13, 11). Голод: 0
2025-03-27 16:17:44.742818: Волк (13, 13) съел Олень на (13, 14). Голод: 0
2025-03-27 16:17:44.750957: Волк (12, 11) съел Олень на (11, 10). Голод: 0
2025-03-27 16:17:44.760245: Волк (4, 10) съел Олень на (3, 9). Голод: 0
2025-03-27 16:17:44.768338: Волк (10, 6) съел Олень на (10, 6). Голод: 0
2025-03-27 16:17:44.776606: Волк (15, 8) съел Олень на (14, 9). Голод: 0
2025-03-27 16:17:44.784864: Волк (16, 19) съел Олень на (15, 19). Голод: 0
2025-03-27 16:17:44.793997: Волк (6, 10) съел Олень на (6, 10). Голод: 0
2025-03-27 16:17:44.802310: Волк (11, 0) съел Олень на (12, 1). Голод: 0
2025-03-27 16:17:44.810405: Волк (13, 12) съел Олень на (14, 11). Голод: 0
2025-03-27 16:17:44.820559: Волк (2, 7) съел Олень на (1, 8). Голод: 0
2025-03-27 16:17:44.829791: Волк (6, 14) съел Олень на (7, 15). Голод: 0
2025-03-27 16:17:44.837934: Волк (4, 16) съел Олень на (5, 15). Голод: 0
2025-03-27 16:17:44.847101: Волк (16, 14) съел Олень на (15, 13). Голод: 0
2025-03-27 16:17:44.855366: Волк (12, 15) съел Олень на (13, 14). Голод: 0
2025-03-27 16:17:44.864496: Волк (10, 13) съел Олень на (9, 14). Голод: 0
2025-03-27 16:17:44.872730: Волк (7, 13) съел Олень на (7, 12). Голод: 0
2025-03-27 16:17:44.880880: Волк (9, 11) съел Олень на (9, 11). Голод: 0
2025-03-27 16:17:44.890081: Волк (18, 6) съел Олень на (19, 6). Голод: 0
2025-03-27 16:17:44.900352: Волк (18, 17) съел Олень на (18, 16). Голод: 0
2025-03-27 16:17:44.910699: Волк (13, 12) съел Олень на (14, 11). Голод: 0
2025-03-27 16:17:44.918794: Волк (12, 9) съел Олень на (11, 10). Голод: 0
2025-03-27 16:17:44.927992: Волк (14, 4) съел Олень на (14, 3). Голод: 0
2025-03-27 16:17:44.936274: Олень (3, 5) съел растение на (3, 6). Голод: 0
2025-03-27 16:17:44.944396: Олень (6, 12) съел растение на (6, 11). Голод: 0
2025-03-27 16:17:44.952701: Олень (10, 6) съел растение на (9, 6). Голод: 0
2025-03-27 16:17:44.961942: Олень (3, 9) съел растение на (3, 8). Голод: 0
2025-03-27 16:17:44.970050: Олень (11, 19) съел растение на (11, 18). Голод: 0
2025-03-27 16:17:44.979309: Олень (11, 15) съел растение на (11, 16). Голод: 0
2025-03-27 16:17:44.987575: Олень (9, 6) съел растение на (9, 6). Голод: 0
2025-03-27 16:17:44.996696: Олень (9, 15) съел растение на (10, 15). Голод: 0
2025-03-27 16:17:45.004998: Олень (13, 14) съел растение на (13, 14). Голод: 0
2025-03-27 16:17:45.014094: Олень (17, 13) съел растение на (16, 14). Голод: 0
2025-03-27 16:17:45.022380: Олень (15, 9) съел растение на (16, 10). Голод: 0
2025-03-27 16:17:45.031587: Олень (5, 15) съел растение на (5, 15). Голод: 0
2025-03-27 16:17:45.039757: Олень (16, 14) съел растение на (16, 14). Голод: 0
2025-03-27 16:17:45.052649: Олень (18, 7) съел растение на (18, 8). Голод: 0
2025-03-27 16:17:45.061789: Олень (11, 7) съел растение на (12, 8). Голод: 0
2025-03-27 16:17:45.071028: Олень (7, 16) съел растение на (6, 17). Голод: 0
2025-03-27 16:17:45.079306: Олень (7, 15) съел растение на (7, 14). Голод: 0
2025-03-27 16:17:45.088457: Олень (3, 12) съел растение на (4, 12). Голод: 0
2025-03-27 16:17:45.097803: Олень (14, 2) съел растение на (15, 1). Голод: 0
2025-03-27 16:17:45.106105: Олень (14, 5) съел растение на (14, 6). Голод: 0
2025-03-27 16:17:45.116339: Олень (15, 16) съел растение на (14, 17). Голод: 0
2025-03-27 16:17:45.124523: Олень (9, 8) съел растение на (9, 9). Голод: 0
2025-03-27 16:17:45.133721: Олень (8, 5) съел растение на (9, 5). Голод: 0
2025-03-27 16:17:45.142992: Олень (6, 15) съел растение на (7, 14). Голод: 0
2025-03-27 16:17:45.152199: Олень (11, 5) съел растение на (11, 6). Голод: 0
2025-03-27 16:17:45.161312: Олень (18, 13) съел растение на (19, 14). Голод: 0
2025-03-27 16:17:45.169568: Олень (9, 1) съел растение на (9, 2). Голод: 0
2025-03-27 16:17:45.178831: Олень (13, 9) съел растение на (13, 8). Голод: 0
2025-03-27 16:17:45.188012: Олень (2, 11) съел растение на (1, 10). Голод: 0
2025-03-27 16:17:45.197214: Олень (9, 6) съел растение на (9, 6). Голод: 0
2025-03-27 16:17:45.207445: Олень (19, 4) съел растение на (19, 5). Голод: 0
2025-03-27 16:17:45.216714: Олень (14, 9) съел растение на (13, 8). Голод: 0
2025-03-27 16:17:45.225959: Олень (14, 7) съел растение на (14, 6). Голод: 0
2025-03-27 16:17:45.235093: Олень (2, 17) съел растение на (2, 18). Голод: 0
2025-03-27 16:17:45.243355: Олень (13, 7) съел растение на (14, 6). Голод: 0
2025-03-27 16:17:45.252620: Олень (13, 11) съел растение на (14, 11). Голод: 0
2025-03-27 16:17:45.261746: Олень (6, 15) съел растение на (5, 14). Голод: 0
2025-03-27 16:17:45.270987: Олень (19, 6) съел растение на (18, 7). Голод: 0
2025-03-27 16:17:45.280182: Олень (1, 13) съел растение на (2, 13). Голод: 0
2025-03-27 16:17:45.289316: Олень (13, 2) съел растение на (13, 3). Голод: 0
2025-03-27 16:17:45.298578: Олень (9, 13) съел растение на (9, 14). Голод: 0
2025-03-27 16:17:45.307834: Олень (16, 14) съел растение на (16, 14). Голод: 0
2025-03-27 16:17:45.317049: Олень (11, 13) съел растение на (11, 12). Голод: 0
2025-03-27 16:17:45.326184: Олень (15, 5) съел растение на (14, 4). Голод: 0
2025-03-27 16:17:45.335421: Олень (1, 19) съел растение на (2, 18). Голод: 0
2025-03-27 16:17:45.344661: Олень (16, 16) съел растение на (16, 16). Голод: 0
2025-03-27 16:17:45.352849: Олень (14, 3) съел растение на (14, 4). Голод: 0
2025-03-27 16:17:45.362124: Олень (16, 19) съел растение на (15, 18). Голод: 0
2025-03-27 16:17:45.371385: Олень (18, 9) съел растение на (18, 9). Голод: 0
2025-03-27 16:17:45.380634: Олень (10, 8) съел растение на (9, 9). Голод: 0
2025-03-27 16:17:45.389809: Олень (8, 18) съел растение на (7, 17). Голод: 0
2025-03-27 16:17:45.399031: Олень (4, 7) съел растение на (3, 6). Голод: 0
2025-03-27 16:17:45.408310: Олень (4, 1) съел растение на (3, 1). Голод: 0
2025-03-27 16:17:45.417430: Олень (2, 9) съел растение на (1, 10). Голод: 0
2025-03-27 16:17:45.425687: Олень (8, 19) съел растение на (7, 19). Голод: 0
2025-03-27 16:17:45.434922: Олень (19, 19) съел растение на (18, 19). Голод: 0
2025-03-27 16:17:45.444051: Олень (0, 15) съел растение на (0, 15). Голод: 0
2025-03-27 16:17:45.453268: Олень (6, 7) съел растение на (6, 7). Голод: 0
2025-03-27 16:17:45.462514: Олень (9, 13) съел растение на (10, 14). Голод: 0
2025-03-27 16:17:45.471784: Олень (7, 6) съел растение на (6, 7). Голод: 0
2025-03-27 16:17:45.481032: Олень (19, 7) съел растение на (18, 7). Голод: 0
2025-03-27 16:17:45.490176: Олень (15, 19) съел растение на (15, 19). Голод: 0
2025-03-27 16:17:45.499439: Олень (11, 10) съел растение на (10, 11). Голод: 0
2025-03-27 16:17:45.507744: Олень (10, 6) съел растение на (11, 6). Голод: 0
2025-03-27 16:17:45.516851: Олень (1, 8) съел растение на (2, 8). Голод: 0
2025-03-27 16:17:45.526070: Олень (2, 6) съел растение на (3, 6). Голод: 0
2025-03-27 16:17:45.535277: Олень (18, 16) съел растение на (17, 15). Голод: 0
2025-03-27 16:17:45.544533: Олень (14, 13) съел растение на (13, 14). Голод: 0
2025-03-27 16:17:45.553805: Олень (12, 1) съел растение на (13, 1). Голод: 0
2025-03-27 16:17:45.562960: Олень (6, 12) съел растение на (5, 13). Голод: 0
2025-03-27 16:17:45.572188: Олень (3, 15) съел растение на (3, 14). Голод: 0
2025-03-27 16:17:45.581466: Олень (4, 16) съел растение на (3, 16). Голод: 0
2025-03-27 16:17:45.589628: Олень (13, 10) съел растение на (14, 11). Голод: 0
2025-03-27 16:17:45.599827: Олень (10, 2) съел растение на (9, 2). Голод: 0
2025-03-27 16:17:45.609111: Олень (18, 7) съел растение на (18, 8). Голод: 0
2025-03-27 16:17:45.619278: Олень (15, 6) съел растение на (14, 7). Голод: 0
2025-03-27 16:17:45.631437: Олень (13, 8) съел растение на (12, 8). Голод: 0
2025-03-27 16:17:45.641602: Олень (16, 16) съел растение на (17, 15). Голод: 0
2025-03-27 16:17:45.659424: Олень (9, 12) съел растение на (8, 11). Голод: 0
2025-03-27 16:17:45.670590: Олень (0, 18) съел растение на (1, 19). Голод: 0
2025-03-27 16:17:45.681828: Олень (9, 11) съел растение на (8, 10). Голод: 0
2025-03-27 16:17:45.692992: Олень (8, 4) съел растение на (8, 3). Голод: 0
2025-03-27 16:17:45.714234: Олень (3, 13) съел растение на (4, 12). Голод: 0
2025-03-27 16:17:45.733597: Волк (19, 6) съел Олень на (18, 5). Голод: 0
2025-03-27 16:17:45.734597: Волк (10, 18) съел Олень на (10, 19). Голод: 0
2025-03-27 16:17:45.746699: Волк (1, 11) съел Олень на (1, 10). Голод: 0
2025-03-27 16:17:45.756696: Волк (5, 9) съел Олень на (5, 8). Голод: 0
2025-03-27 16:17:45.765694: Волк (17, 5) съел Олень на (18, 5). Голод: 0
2025-03-27 16:17:45.774694: Волк (14, 12) съел Олень на (14, 13). Голод: 0
2025-03-27 16:17:45.784694: Волк (11, 11) съел Олень на (10, 12). Голод: 0
2025-03-27 16:17:45.793699: Волк (1, 18) съел Олень на (1, 19). Голод: 0
2025-03-27 16:17:45.803695: Волк (11, 6) съел Олень на (10, 7). Голод: 0
2025-03-27 16:17:45.812696: Волк (6, 9) съел Олень на (5, 8). Голод: 0
2025-03-27 16:17:45.821695: Волк (1, 9) съел Олень на (1, 10). Голод: 0
2025-03-27 16:17:45.830694: Волк (16, 18) съел Олень на (16, 17). Голод: 0
2025-03-27 16:17:45.839695: Волк (18, 4) съел Олень на (18, 5). Голод: 0
2025-03-27 16:17:45.848696: Волк (15, 15) съел Олень на (15, 16). Голод: 0
2025-03-27 16:17:45.857695: Волк (11, 13) съел Олень на (10, 12). Голод: 0
2025-03-27 16:17:45.866696: Волк (7, 13) съел Олень на (8, 14). Голод: 0
2025-03-27 16:17:45.875695: Волк (8, 4) съел Олень на (9, 5). Голод: 0
2025-03-27 16:17:45.884695: Волк (11, 9) съел Олень на (10, 8). Голод: 0
2025-03-27 16:17:45.893695: Волк (15, 5) съел Олень на (14, 6). Голод: 0
2025-03-27 16:17:45.902695: Олень (4, 5) съел растение на (5, 4). Голод: 0
2025-03-27 16:17:45.911698: Олень (9, 7) съел растение на (8, 8). Голод: 0
2025-03-27 16:17:45.920695: Олень (17, 12) съел растение на (18, 13). Голод: 0
2025-03-27 16:17:45.930695: Олень (15, 9) съел растение на (16, 9). Голод: 0
2025-03-27 16:17:45.942698: Олень (17, 14) съел растение на (18, 13). Голод: 0
2025-03-27 16:17:45.955697: Олень (7, 15) съел растение на (7, 16). Голод: 0
2025-03-27 16:17:45.966695: Олень (13, 3) съел растение на (12, 3). Голод: 0
2025-03-27 16:17:45.975695: Олень (15, 16) съел растение на (14, 15). Голод: 0
2025-03-27 16:17:45.985697: Олень (7, 5) съел растение на (6, 6). Голод: 0
2025-03-27 16:17:45.995695: Олень (13, 9) съел растение на (12, 9). Голод: 0
2025-03-27 16:17:46.004697: Олень (1, 10) съел растение на (0, 10). Голод: 0
2025-03-27 16:17:46.014695: Олень (11, 5) съел растение на (11, 4). Голод: 0
2025-03-27 16:17:46.022697: Олень (14, 7) съел растение на (15, 6). Голод: 0
2025-03-27 16:17:46.032694: Олень (6, 15) съел растение на (7, 16). Голод: 0
2025-03-27 16:17:46.041696: Олень (1, 14) съел растение на (1, 13). Голод: 0
2025-03-27 16:17:46.051695: Олень (6, 17) съел растение на (5, 18). Голод: 0
2025-03-27 16:17:46.060695: Олень (10, 14) съел растение на (10, 15). Голод: 0
2025-03-27 16:17:46.070695: Олень (10, 17) съел растение на (9, 17). Голод: 0
2025-03-27 16:17:46.079695: Олень (14, 6) съел растение на (15, 7). Голод: 0
2025-03-27 16:17:46.089695: Олень (17, 0) съел растение на (18, 1). Голод: 0
2025-03-27 16:17:46.098696: Олень (19, 9) съел растение на (18, 10). Голод: 0
2025-03-27 16:17:46.108695: Олень (11, 8) съел растение на (12, 9). Голод: 0
2025-03-27 16:17:46.118695: Олень (3, 1) съел растение на (3, 2). Голод: 0
2025-03-27 16:17:46.127696: Олень (19, 8) съел растение на (18, 9). Голод: 0
2025-03-27 16:17:46.136696: Олень (1, 15) съел растение на (2, 14). Голод: 0
2025-03-27 16:17:46.146697: Олень (5, 6) съел растение на (6, 6). Голод: 0
2025-03-27 16:17:46.155699: Олень (8, 6) съел растение на (7, 6). Голод: 0
2025-03-27 16:17:46.164734: Олень (17, 11) съел растение на (18, 10). Голод: 0
2025-03-27 16:17:46.174697: Олень (14, 13) съел растение на (15, 14). Голод: 0
2025-03-27 16:17:46.183694: Олень (14, 10) съел растение на (13, 11). Голод: 0
2025-03-27 16:17:46.193697: Олень (9, 2) съел растение на (8, 3). Голод: 0
2025-03-27 16:17:46.202738: Олень (13, 8) съел растение на (12, 9). Голод: 0
2025-03-27 16:17:46.212695: Олень (9, 11) съел растение на (9, 10). Голод: 0
2025-03-27 16:17:46.666996: Волк (11, 17) съел Олень на (11, 16). Голод: 0
2025-03-27 16:17:46.666996: Волк (14, 10) съел Олень на (14, 9). Голод: 0
2025-03-27 16:17:46.681253: Волк (10, 6) съел Олень на (11, 5). Голод: 0
2025-03-27 16:17:46.691441: Волк (18, 1) съел Олень на (17, 1). Голод: 0
2025-03-27 16:17:46.701595: Волк (9, 1) съел Олень на (10, 2). Голод: 0
2025-03-27 16:17:46.711749: Волк (6, 14) съел Олень на (7, 14). Голод: 0
2025-03-27 16:17:46.721903: Волк (15, 5) съел Олень на (15, 6). Голод: 0
2025-03-27 16:17:46.732153: Олень (8, 8) съел растение на (7, 8). Голод: 0
2025-03-27 16:17:46.742310: Олень (17, 13) съел растение на (16, 13). Голод: 0
2025-03-27 16:17:46.752479: Олень (12, 3) съел растение на (11, 3). Голод: 0
2025-03-27 16:17:46.762653: Олень (7, 4) съел растение на (6, 4). Голод: 0
2025-03-27 16:17:46.771818: Олень (10, 2) съел растение на (11, 3). Голод: 0
2025-03-27 16:17:46.780990: Олень (0, 15) съел растение на (0, 14). Голод: 0
2025-03-27 16:17:46.791158: Олень (9, 14) съел растение на (8, 15). Голод: 0
2025-03-27 16:17:46.801248: Олень (7, 17) съел растение на (8, 18). Голод: 0
2025-03-27 16:17:46.811407: Олень (17, 1) съел растение на (18, 2). Голод: 0
2025-03-27 16:17:46.822583: Олень (2, 2) съел растение на (1, 3). Голод: 0
2025-03-27 16:17:46.832688: Олень (0, 7) съел растение на (0, 6). Голод: 0
2025-03-27 16:17:46.841852: Олень (19, 1) съел растение на (18, 2). Голод: 0
2025-03-27 16:17:47.667831: Волк (11, 13) съел Олень на (10, 14). Голод: 0
2025-03-27 16:17:47.667831: Волк (7, 3) съел Олень на (8, 4). Голод: 0
2025-03-27 16:17:47.677789: Волк (10, 5) съел Олень на (9, 6). Голод: 0
2025-03-27 16:17:47.687049: Олень (18, 15) съел растение на (17, 15). Голод: 0
2025-03-27 16:17:47.696642: Олень (12, 9) съел растение на (12, 8). Голод: 0
2025-03-27 16:17:47.707955: Олень (10, 13) съел растение на (11, 12). Голод: 0
2025-03-27 16:17:47.718171: Олень (1, 2) съел растение на (2, 3). Голод: 0
2025-03-27 16:17:47.727434: Олень (2, 14) съел растение на (3, 15). Голод: 0
2025-03-27 16:17:48.675870: Волк (10, 12) съел Олень на (9, 13). Голод: 0
2025-03-27 16:17:48.676523: Волк (11, 3) съел Олень на (12, 4). Голод: 0
2025-03-27 16:17:48.685728: Олень (3, 6) съел растение на (2, 5). Голод: 0
2025-03-27 16:17:48.696036: Олень (9, 10) съел растение на (8, 10). Голод: 0
2025-03-27 16:17:48.706262: Олень (7, 17) съел растение на (7, 18). Голод: 0
2025-03-27 16:17:48.715535: Олень (2, 15) съел растение на (3, 16). Голод: 0
2025-03-27 16:17:48.725672: Волк умер от голода на (2, 19).
2025-03-27 16:17:49.673035: Волк (9, 11) съел Олень на (9, 10). Голод: 0
2025-03-27 16:17:49.673638: Волк (12, 9) съел Олень на (11, 9). Голод: 0
2025-03-27 16:17:49.683910: Олень умер от голода на (11, 7).
2025-03-27 16:17:50.666256: Олень (7, 17) съел растение на (8, 16). Голод: 0
2025-03-27 16:17:50.666256: Олень (3, 15) съел растение на (4, 16). Голод: 0
2025-03-27 16:17:50.676503: Волк умер от голода на (17, 5).
2025-03-27 16:17:50.686632: Волк умер от голода на (4, 17).
2025-03-27 16:17:51.671462: Олень (1, 4) съел растение на (0, 5). Голод: 0
2025-03-27 16:17:51.671462: Волк умер от голода на (2, 11).
2025-03-27 16:17:52.672134: Волк умер от голода на (11, 5).
2025-03-27 16:17:52.672134: Волк умер от голода на (19, 14).
2025-03-27 16:17:53.672586: Олень (2, 11) съел растение на (3, 12). Голод: 0
